Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition,Timestamp,Price Category,Latitude,Longitude
7/29/2023,7/29/2023,3:40 AM,Petty Theft ‐ Bicycle,CMME,2023‐1558,"Secured bicycle stolen, loss $200.00",Online Report,2023-07-29 03:40:00,Medium,32.8767652,-117.237966
7/31/2023,7/31/2023,1:45 PM ‐ 7:45 PM,Petty Theft,Geisel Library,2023‐1570,"Secured bicycle stolen, loss $400.00",Online Report,2023-07-31 19:45:00,Medium,32.881092,-117.2375659
08-03-2023,8/3/2023 ‐ 8/3/2023,12:00 PM ‐ 12:30 PM,Petty Theft ‐ Micro Mobility Device,UCSD Police Department,2023‐1586,"Secured electric scooter stolen, loss $400",Report Taken,2023-08-03 12:30:00,Medium,32.8826508,-117.2296864
08-03-2023,8/3/2023 ‐ 8/3/2023,6:00 PM ‐ 6:40 PM,Petty Theft ‐ Bicycle,CanyonView Aquatic & Climbing Wall Facility,2023‐1587,"Secured bicycle stolen, loss $420",Report Taken,2023-08-03 18:40:00,Medium,,
08-04-2023,8/3/2023 ‐ 8/4/2023,8:00 PM ‐ 9:00 AM,Petty Theft ‐ Bicycle,Viento,2023‐1590,"Unsecured bicycle stolen, loss $60.00",Service Provided,2023-08-04 20:00:00,Low,,
08-04-2023,08-04-2023,8:10 AM ‐ 5:50 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1593,"Secured electric scooter stolen, loss $549.00",Report Taken,2023-08-04 17:50:00,Expensive,32.878353,-117.231842
08-04-2023,08-04-2023,5:00 PM ‐ 9:30 PM,Petty Theft,Regents Rd,2023‐1595,"Secured bicycle stolen, loss $300.00",Online Report,2023-08-04 21:30:00,Medium,32.8552295,-117.2176209
08-06-2023,08-03-2023,5:25pm‐9:00pm,Petty Theft ‐ Bicycle,Mandeville Lane,2023‐1602,"Secured bicycle stolen, loss $549.99",Online Report,2023-08-03 21:00:00,Expensive,32.8775173,-117.2385697
08-07-2023,08-07-2023,3:00 PM ‐ 6:00 PM,Petty Theft,UCSD Bookstore,T23000340,"Secured bicycle stolen, loss $300.00",Online Report,2023-08-07 18:00:00,Medium,32.8794408,-117.2369353
08-10-2023,08-10-2023,10:00 AM ‐ 5:10 PM,Petty Theft ‐ Micro Mobility Device,Skaggs Pharmaceutical Sciences Building,2023‐1627,"Secured electric scooter stolen, loss $300.00",Report Taken,2023-08-10 17:10:00,Medium,32.8744378,-117.2358516
08-10-2023,08-10-2023,4:30 PM ‐ 6:45 PM,Petty Theft,Geisel Library ‐ Bike Racks,2023‐1628,"Secured bicycle stolen, loss $500.00",Online Report,2023-08-10 18:45:00,Medium,32.881092,-117.2375659
08-11-2023,8/10/2023 ‐ 8/11/2023,11:00 PM ‐ 6:00 PM,Petty Theft from Vehicle,"One Miramar Street, Bldg 2",2023‐1632,"Motor scooter alarm stolen off victim's scooter, loss $200.00",Report Taken,2023-08-11 23:00:00,Medium,32.8737372,-117.2268607
08-12-2023,8/11/2023 ‐ 8/12/2023,8:00 PM ‐ 1:00 PM,Petty Theft,One Miramar Street,2023‐1638,"Secured bicycle stolen, loss $500.00",Online Report,2023-08-12 20:00:00,Medium,32.8737372,-117.2268607
8/13/2023,08-09-2023,4:00 PM ‐ 7:15 PM,Petty Theft ‐ Bicycle,"1 Miramar Street, La Jolla",2023‐1668,"Secured bicycle stolen, loss $290.00",Online Report,2023-08-09 19:15:00,Medium,32.8737372,-117.2268607
8/13/2023,8/12/2023 ‐ 8/13/2023,4:00 PM ‐ 12:40 PM,Petty Theft ‐ Bicycle,Sixth Market ‐ Mosaic,2023‐1642,"Secured bicycle stolen, loss $420.00",Report Taken,2023-08-13 16:00:00,Medium,,
8/13/2023,8/11/2023 ‐ 8/12/2023,11:30 AM ‐ 12:00 AM,Petty Theft,One Miramar Street ‐ Building 4,2023‐1643,"Secured bicycle stolen and cable lock damaged, loss $910.00, damage $20.00",Report Taken,2023-08-12 11:30:00,Expensive,32.8737372,-117.2268607
8/13/2023,08-09-2023,4:00 PM ‐ 7:15 PM,Petty Theft ‐ Bicycle,"1 Miramar Street, La Jolla",T23000343,"Secured bicycle stolen, loss $290.00",Online Report,2023-08-09 19:15:00,Medium,32.8737372,-117.2268607
8/14/2023,8/14/2023,8:30 AM ‐ 10:45 PM,Petty Theft ‐ Micro Mobility Device,SME Building,2023‐1669,"Secured Electric scooter with cable was taken, total loss $500",Online Report Taken,2023-08-14 22:45:00,Medium,32.8800218,-117.2329402
8/14/2023,8/14/2023,10:30 AM ‐ 4:30 PM,Petty Theft ‐ Micro Mobility Device,Computer Science And Engineering Building,2023‐1646,"Secured electric scooter, loss $350",Report Taken,2023-08-14 16:30:00,Medium,32.88180060000001,-117.2335235
8/14/2023,8/14/2023,8:30 AM ‐ 10:45 PM,Petty Theft ‐ Micro Mobility Device,SME Building,T23000344,"Secured Electric scooter with cable was taken, total loss $500",Online Report Taken,2023-08-14 22:45:00,Medium,32.8800218,-117.2329402
8/15/2023,8/14/2023,11:00am‐8:00pm,Petty Theft ‐ Micro Mobility Device,UCSD Central Campus Trolley Station,2023‐1670,"Secured electric scooter stolen, Loss $449",Online Report,2023-08-14 20:00:00,Medium,32.878353,-117.231842
8/16/2023,8/16/2023,4:00 PM ‐ 8:15 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2023‐1662,"Secured electric scooter stolen, Loss $619.87",Report Taken,2023-08-16 20:15:00,Expensive,32.881092,-117.2375659
8/19/2023,08-09-2023,9:00 PM ‐ 6:00 AM,Grand Theft,Argo Hall,2023‐1686,"Two stolen bike racks, loss $1,500.00",Report Taken,2023-08-09 21:00:00,Medium,32.8745162,-117.2416218
8/21/2023,8/20/2023 ‐ 8/21/2023,10:00 PM ‐ 9:30 AM,Grand Theft ‐ Micro Mobility Device,Tierra,2023‐1694,"Secured electric bicycle stolen, loss $4,000.00",Report Taken,2023-08-21 22:00:00,Medium,,
8/22/2023,8/22/2023,11:25 AM ‐ 1:25 PM,Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,2023‐1702,"Secured electric scooter stolen, loss $500.00",Report Taken,2023-08-22 13:25:00,Medium,32.8800218,-117.2329402
8/22/2023,8/22/2023,9:20 PM,Petty Theft,Trolley ‐ Central Campus Station,2308220059,Reporting party saw an unknown male steal a scooter,Gone On Arrival,2023-08-22 21:20:00,Medium,32.878353,-117.231842
8/23/2023,8/22/2023 ‐ 8/23/2023,5:20 PM ‐ 10:15 AM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,2023‐1708,"Secured electric scooter stolen, loss $399.00",Report Taken,2023-08-23 17:20:00,Medium,32.8794117,-117.2322377
8/24/2023,8/24/2023,4:00 PM ‐ 8:20 PM,Grand Theft ‐ Bicycle,Brisa,2023‐1715,"Secured bicycle stolen, loss $1,299.00",Online Report,2023-08-24 20:20:00,Medium,,
8/25/2023,6/16/2023,Unknown,Petty Theft ‐ Micro Mobility Device,Warren Residential Hall,T23000347,"Unsecured electric scooter stolen, loss $350.00",Online Report,2023-06-16 00:00:00,Medium,32.8839947,-117.2332494
8/25/2023,8/25/2023,6:49 PM,Petty Theft ‐ Bicycle,Nuevo East ‐ Porton,2308250040,"Secured bicycle stolen from outside fitness center, loss $500.00",Online Report,2023-08-25 18:49:00,Medium,32.8750388,-117.2190994
8/26/2023,8/26/2023,6:20 PM ‐ 8:00 PM,Petty Theft / Vandalism,Trolley ‐ Central Campus Station,2023‐1719,"Unknown suspect stole victim's secured electric scooter and damaged the cable lock, damage $14.00, loss $300.00",Report Taken,2023-08-26 20:00:00,Low,32.878353,-117.231842
8/27/2023,8/26/2023,2:00 PM ‐ 1:00 PM,Grand Theft ‐ Micor Mobility Device,Peppery Canyon Apartments,2308270027,"Secured electric bicycle stolen, Loss $1,200.00",Report Taken,2023-08-26 14:00:00,Medium,32.8775872,-117.2306142
8/30/2023,8/30/2023,8:00 AM‐4:00 PM,Petty Theft ‐ Micro Mobility Device,Student Services Center,2023‐1748,"Secured electric scooter stolen, loss $349.00",Online Report,2023-08-30 16:00:00,Medium,32.8785203,-117.235886
09-01-2023,09-01-2023,2:00 PM ‐ 3:30 PM,Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,2023‐1754,"Secured electric scooter stolen, Loss $400.00",Online Report,2023-09-01 15:30:00,Medium,32.8835013,-117.2349145
09-01-2023,8/31/2023‐09/01/2023,6:30 PM ‐1:00PM,Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,2023‐1753,"Secured bicycle stolen, Loss $400.00",Online Report,2023-09-01 18:30:00,Medium,32.8655512,-117.2230338
09-02-2023,09-02-2023,4:40 PM ‐ 5:00 PM,Grand Theft ‐ Bicycle,John's Place & Market,2023‐1755,"Unsecured bicycle stolen, loss $2,000.00",Report Taken,2023-09-02 17:00:00,Medium,,
09-02-2023,09-02-2023,9:00 AM ‐ 1:50 PM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,2023‐1756,"Secured electric scooter stolen, loss $500.00",Report Taken,2023-09-02 13:50:00,Medium,32.8794117,-117.2322377
09-05-2023,9/3/2023 ‐ 9/5/2023,12:00 PM ‐ 4:00 PM,Grand Theft ‐ Bicycle,Astilla,2023‐1767,"Secured bicycle stolen, loss $1,000",Report Taken,2023-09-05 16:00:00,Medium,,
09-06-2023,09-06-2023,8:03 PM,Petty Theft,Thurgood Marshall Res Halls,T23000355,"Bicycle stolen, loss $300.00",Online Reporting,2023-09-06 20:03:00,Medium,,
09-08-2023,9/7/2023 ‐ 9/8/2023,6:00 PM ‐ 10:00 AM,Petty Theft,Urey Hall,2023‐1788,"Secured bicycle stolen, loss $120.00",Report Taken,2023-09-08 18:00:00,Medium,32.8755628,-117.2410642
09-12-2023,09-12-2023,9:00 AM ‐ 2:00 PM,Grand Theft,Torrey Pines Center North,2309120055,"Report of stolen bicycle, total loss $6,000",Information Only,2023-09-12 14:00:00,Expensive,32.8905271,-117.2430509
9/13/2023,8/28/2023 ‐ 9/13/2023,6:00 PM ‐ 7:35 AM,Petty Theft,Artesa,2023‐1809,"Secured bicycle stolen, loss $500.00",Report Taken,2023-09-13 18:00:00,Medium,,
9/14/2023,9/13/2023,2:00 PM ‐ 3:00 PM,Grand Theft,Neighborhood ‐ TDLL,2023‐1812,"Unsecure bicycle stolen, loss $699.00",Report Taken,2023-09-13 15:00:00,Expensive,,
9/15/2023,09-12-2023,9:00am‐2:00pm,Grand Theft,North Torrey Pines Parking Lot,2023‐1820,"Secured bicycle stolen, loss $8,000.00",Report Taken,2023-09-12 14:00:00,Expensive,,
9/17/2023,9/14/2023 ‐ 9/17/2023,7:05 PM ‐ 7:18 PM,Theft ‐ Bicycle,Mesa Apartments South,2023‐1830,"Secured bicycle stolen, loss $500",Online Report,2023-09-17 19:18:00,Medium,,
9/18/2023,9/18/2023,9:10AM‐3:40PM,Petty Theft ‐ Micro Mobility Device,RIMAC Annex,2023‐1833,"Secured electric scooter stolen, Loss $250",Online Report,2023-09-18 15:40:00,Medium,32.8857682,-117.2404605
9/18/2023,9/18/2023,9:15AM‐4:00PM,Petty Theft,RIMAC Annex,2023‐1834,"Secured electric scooter stolen, Loss $300",Online Report,2023-09-18 16:00:00,Medium,32.8857682,-117.2404605
9/19/2023,9/19/2023,12:35PM,Petty Theft,Computer Science and Engineering Building,2023‐1836,"Secured bicycle stolen, Loss $400.00",Online Report,2023-09-19 12:35:00,Medium,32.88180060000001,-117.2335235
9/19/2023,9/19/2023,12:35PM,Petty Theft,Voigt Drive,T23000362,"Secured Bicycle stolen, Loss $400",Online Report,2023-09-19 12:35:00,Medium,32.8811362,-117.2295642
9/21/2023,9/21/2023,12:25 PM,Petty Theft,Pepper Canyon Lane,T23000363,"Secured bicycle stolen, loss $500.00",Online Report,2023-09-21 12:25:00,Medium,32.8786572,-117.2292423
9/22/2023,9/22/2023,12:00 PM ‐ 4:45 PM,Petty Theft ‐ Micro Mobility Device,Stein Clinical Research Building,2023‐1850,"Unknown suspect(s) stole a secured electric scooter, approximate loss is $300",Report Taken,2023-09-22 16:45:00,Medium,32.875958,-117.2340132
9/22/2023,9/22/2023,4:50 PM ‐ 5:00 PM,Petty Theft ‐ Micro Mobility Device,Target,2023‐1851,"Unknown suspect(s) stole a secured electric bicycle, approximate loss is $360",Report Taken,2023-09-22 17:00:00,Medium,,
9/22/2023,9/22/2023,4:55 PM ‐ 5:10 PM,Bicycle Theft,Library Walk San Diego,T23000364,"Secured bicycle left by Target entrance, lock was cut off and bike was no longer there",Online Reporting,2023-09-22 17:10:00,Medium,32.8787741,-117.2375612
9/22/2023,9/21/2023,6:40 PM,Bicycle Theft,One Miramar St,T23000365,Secured bicycle was removed from bike rack,Online Reporting,2023-09-21 18:40:00,Medium,32.8737372,-117.2268607
9/26/2023,9/26/2023,7:30 PM ‐ 9:15 PM,Grand Theft ‐ Micro Mobility Device,RIMAC,2023‐1880,"Unknown suspect(s) stole a secured electric bicycle, approximate total loss $2,300",Report Taken,2023-09-26 21:15:00,Medium,32.8851041,-117.2404977
9/26/2023,9/26/2023,8:50 PM,Petty Theft ‐ Micro Mobility Device,Muir Biology Building,T23000368,"Secured electric scooter at bike racks near building, lock had been cut and scooter was gone, market value $800",Online Reporting,2023-09-26 20:50:00,Expensive,32.8784187,-117.2410685
9/27/2023,9/27/2023,10:00 AM ‐ 10:30 AM,Grand Theft ‐ Micro Mobility Device,Canyonview Rec/Athletics Administration,2023‐1886,"Unsecured electric scooter stolen, loss $1,300.00",Report Taken,2023-09-27 10:30:00,Medium,,
9/27/2023,9/26/2023,7:30 PM ‐ 9:00 PM,Grand Theft ‐ Micro Mobility Device,Hopkins Dr,T23000369,"Secured electric bicycle stolen, loss $2,000",Online Reporting,2023-09-26 21:00:00,Medium,32.8862472,-117.2386908
9/27/2023,9/26/2023 ‐ 9/27/2023,2:30 PM ‐ 5:50 AM,Petty Theft ‐ Bicycle,Regents Road,2023‐1887,"Secured bicycle stolen, loss: $200",Report Taken,2023-09-27 14:30:00,Medium,32.8552295,-117.2176209
9/27/2023,9/21/2023 ‐ 9/27/2023,5:45 PM,Petty Theft ‐ Bicycle,Exchange,2023‐1917,"Secured bicycle stolen, loss: $900.00",Online Reporting,2023-09-27 17:45:00,Expensive,,
9/28/2023,9/26/2023 ‐ 9/28/2023,11:00 AM ‐ 8:45 AM,Petty Theft ‐ Bicycle,Pepper Canyon Apartments,2023‐1894,"Secured bicycle stolen from bike rack, loss $50.00",Disposition Report Taken,2023-09-28 11:00:00,Low,32.8775872,-117.2306142
9/28/2023,9/27/2023 ‐ 9/28/2023,2:00 PM ‐ 7:00 AM,Petty Theft ‐ Micro Mobility Device,Seventh College West,2023‐1893,"Unknown suspect(s) stole a secured electric scooter, loss $500.00",Report Taken,2023-09-28 14:00:00,Medium,32.8880662,-117.2425365
9/28/2023,9/27/2023,3:00 PM ‐ 3:10 PM,Petty Theft ‐ Micro Mobility Device,Town Square,2023‐1895,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $275.00",Report Taken,2023-09-27 15:10:00,Medium,,
9/28/2023,9/27/2023 ‐ 9/28/2023,6:00 PM ‐ 7:30 AM,Petty Theft ‐ Bicycle,Cala,2023‐1912,"Secured bicycle stolen from bike racks, loss $300.00",Online Report,2023-09-28 18:00:00,Medium,,
9/28/2023,9/28/2023,1:00 PM ‐ 4:00 PM,Bicycle Theft,Matthews Apartments,2023‐1902,"Secured bicycle stolen from underneath stairway, loss $300.00",Online Report,2023-09-28 16:00:00,Medium,32.878646,-117.2310505
9/28/2023,9/28/2023,5:54 PM,Petty Theft / Drug Law Violation/ Obstruct or Resist Peace Officer / Outside Agency Arrest Warrant ‐ Felony,Price Center West ‐ Target / Trolley ‐ Central Campus Station,2023‐1899,"Male subject trying to cut locks outside of store, upon contact with Officers, subject attempted to flee the scene on stolen bicycle, loss $300.00",Closed By Adult Arrest,2023-09-28 17:54:00,Medium,32.878353,-117.231842
9/28/2023,9/28/2023,7:30 PM ‐ 8:31 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1900,"Male suspect stole a secured electric scooter from bike rack, loss $648.48",Report Taken,2023-09-28 20:31:00,Expensive,32.878353,-117.231842
9/29/2023,9/28/2023‐09/29/2023,5:00PM‐9:30AM,Petty Theft,Marshall College,2023‐1904,"Secured electric bicycle stolen, loss $500.00",Disposition Report Taken,2023-09-29 17:00:00,Medium,32.8831443,-117.2431716
9/30/2023,9/30/2023,1:08:00 AM ‐ 2:06 AM,Petty Theft ‐ Micro Mobility Device/ Fraud,Argo Hall,2023‐1909,"Original call for suspicious male standing over bike rack, upon contact subject admitted to stealing an electric scooter and was unlawfully in possession of another's credit card","Closed By Citation, Adult",2023-09-30 02:06:00,Medium,32.8745162,-117.2416218
9/30/2023,9/24/2023 ‐ 9/30/2023,5:00 PM ‐ 1:30 PM,Petty Theft ‐ Micro Mobility Device,Atlantis Hall,2023‐1915,"Unknown suspect stole victim's secured electric scooter, loss $750.00",Report Taken,2023-09-30 17:00:00,Expensive,32.87385769999999,-117.2424379
9/30/2023,9/29/2023 ‐ 9/30/2023,10:00 PM ‐ 3:00 AM,Petty Theft ‐ Bicycle,Scholars Dr N.,2023‐1928,"Secured bicycle stolen, loss $700.00",Online Report,2023-09-30 22:00:00,Expensive,32.8842874,-117.2424066
9/30/2023,9/30/2023,9:15 PM ‐ 10:40 PM,Petty Theft ‐ Micro Mobility Device,RIMAC,2023‐1918,"Secured electric scooter stolen, loss $300.00",Report Taken,2023-09-30 22:40:00,Medium,32.8851041,-117.2404977
10-01-2023,10-01-2023,6:30 PM ‐ 7:20 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1923,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $300.00",Report Taken,2023-10-01 19:20:00,Medium,32.878353,-117.231842
10-01-2023,10-01-2023,3:00 PM ‐ 10:25 PM,Bicycle Theft,Frankfurter Hall,2023‐1924,"Unknown suspect(s) stole a secured bicycle and accessories, loss $150.00",Report Taken,2023-10-01 22:25:00,Medium,32.8846291,-117.2329765
10-02-2023,10-02-2023,6:00 AM ‐ 1:00 PM,Petty Theft,Otterson Hall,T23000377,"Secured bicycle stolen, loss $350.00",Online Report,2023-10-02 13:00:00,Medium,32.8865929,-117.2411101
10-02-2023,10-02-2023,1:57 PM ‐ 2:50 PM,Petty Theft of Micro Mobility Device,Galbraith Hall,2023‐1930,"Secured electric scooter stolen, loss $650.00",Report Taken,2023-10-02 14:50:00,Expensive,32.8737102,-117.2409723
10-03-2023,10-03-2023,8:00 AM ‐ 10:15 AM,Petty Theft of Micro Mobility Device,Center Hall,2023‐1936,"Secured electric bicycle stolen, loss $1,400.00",Report Taken,2023-10-03 10:15:00,Medium,32.8775468,-117.2374084
10-03-2023,10-03-2023,9:30 AM ‐ 10:50 AM,Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station (Bike Racks),2023‐1937,"Secured electric scooter stolen, loss $400.00",Report Taken,2023-10-03 10:50:00,Medium,32.878353,-117.231842
10-03-2023,10-03-2023,6:31 PM,Grand Theft,Sally T. Wongavery Library,2023‐1939,"Unsecured electric bicycle stolen, loss $2,000.00",Report Taken,2023-10-03 18:31:00,Medium,32.8752695,-117.2369405
10-03-2023,10-03-2023,9:30 AM ‐ 10:50 AM,Petty Theft of Micro Mobility Device,Center Hall,2023‐1937,"Secured electric scooter stolen, loss $400.00",Report Taken,2023-10-03 10:50:00,Medium,32.8775468,-117.2374084
10-04-2023,10/2/2023 ‐ 10/4/2023,8:00 PM ‐ 8:30 AM,Petty Theft,Tapestry Bike Locker,2023‐1946,"Secured bicycle stolen, loss $200.00",Report Taken,2023-10-04 20:00:00,Medium,,
10-05-2023,10/4/2023 ‐ 10/5/2023,5:00 PM ‐ 9:00 AM,Petty Theft of Micro Mobility Device,Tioga Hall,2023‐1952,"Secured electric bicycle stolen, loss $370.00",Report Taken,2023-10-05 17:00:00,Medium,32.8790439,-117.2433669
10-05-2023,10-05-2023,10:23 PM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Bldg,2023‐1959,"Secured electric scooter stolen, loss $450.00",Report Taken,2023-10-05 22:23:00,Medium,32.8794117,-117.2322377
10-06-2023,10-06-2023,5:45 AM ‐ 9:05 AM,Petty Theft of Micro Mobility Device,RIMAC,2023‐1965,"Secured electric scooter stolen, loss $1,485.00",Report Taken,2023-10-06 09:05:00,Medium,32.8851041,-117.2404977
10-06-2023,10-06-2023,3:30 PM ‐ 5:15 PM,Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1974,"Secured electric scooter stolen, loss $650.00",Report Taken,2023-10-06 17:15:00,Expensive,32.878353,-117.231842
10-06-2023,10-06-2023,3:00 PM ‐ 11:00 PM,Petty Theft,Matthew Ln,2023‐1983,"Unknown suspect(s) tampered with electric scooter, loss $400.00",Report Taken,2023-10-06 23:00:00,Medium,32.8801283,-117.2344967
10-06-2023,10/5/2023 ‐ 10/6/2023,9:30 PM ‐ 9:00 AM,Petty Theft,Piedra,2023‐1982,"Secured bicycle stolen, loss $950.00",Online Report,2023-10-06 21:30:00,Expensive,,
10-07-2023,10-05-2023,9:40 PM ‐ 11:55 PM,Petty Theft ‐ Micro Mobility Device,Center Hall,2023‐1986,"Secured electric scooter stolen, loss $545",Report Taken,2023-10-05 23:55:00,Expensive,32.8775468,-117.2374084
10-09-2023,10-09-2023,3:00 PM ‐ 5:40 PM,Petty Theft ‐ Micro Mobility Device,The Village At Torrey Pines,T23000385,"Secured electric scooter stolen, loss $500",Online Report,2023-10-09 17:40:00,Medium,32.8879573,-117.2425452
10-09-2023,10-09-2023,2:00 AM ‐ 10:00 AM,Petty Theft ‐ Micro Mobility Device,Meteor Hall,2023‐1999,"Secured electric scooter stolen, loss $530.00",Report Taken,2023-10-09 10:00:00,Expensive,32.8738214,-117.2419498
10-10-2023,10-10-2023,4:00 PM ‐ 4:25 PM,Petty Theft ‐ Micro Mobility Device,Marshall Residence Hall P,2023‐2013,"Secured electric scooter stolen, loss $300.00",Online Report,2023-10-10 16:25:00,Medium,32.8829967,-117.2426633
10-10-2023,10-10-2023,7:50 PM ‐ 9:10 PM,Petty Theft ‐ Bicycle,Applied Physics And Mathematics,2023‐2010,"Secured bicycle stolen, loss $750.00",Report Taken,2023-10-10 21:10:00,Expensive,32.8795424,-117.2411535
10-10-2023,10-10-2023,7:30 PM ‐ 9:30 PM,Grand Theft‐ Micro Mobility Device,Warren Lecture Hall,2023‐2011,Secured electric bicycle stolen loss $1600.00,Report Taken,2023-10-10 21:30:00,Expensive,32.8805918,-117.2344208
10-11-2023,10/10/2023 ‐ 10/11/2023,5:00 PM ‐ 9:44 PM,Petty Theft ‐ Micro Mobility Device,Gilman Dr,2023‐2023,"Secured electric bicycle stolen, loss $450.00",Online Report,2023-10-11 21:44:00,Medium,32.8648237,-117.2364128
10-11-2023,10-11-2023,9:00 AM ‐ 11:00 AM,Petty Theft ‐ Micro Mobility Device,Jacobs School of Engineering,2023‐2024,"Secured electric scooter stolen, loss $600.00",Online Report,2023-10-11 11:00:00,Expensive,32.8815676,-117.2354946
10-11-2023,10-11-2023,2:00 PM ‐ 2:50 PM,Petty Theft ‐ Micro Mobility Device,Gilman Dr,2023‐2025,"Secured electric scooter stolen, loss $630.00",Online Report,2023-10-11 14:50:00,Expensive,32.8648237,-117.2364128
10-11-2023,10-09-2023,3:00 PM ‐ 6:00 PM,Petty Theft ‐ Micro Mobility Device,Seventh College West,2023‐2021,"Secured electric scooter stolen, loss $500.00",Online Report,2023-10-09 18:00:00,Medium,32.8880662,-117.2425365
10-12-2023,10-08-2023,12:55 PM ‐ 3:15 PM,Petty Theft ‐ Micro Mobility Device,Pepper Canyon Apartments,2023‐2026,"Secured electric scooter stolen, loss $500.00",Online Report,2023-10-08 15:15:00,Medium,32.8775872,-117.2306142
10-12-2023,10/11/2023 ‐ 10/12/2023,4:00 PM ‐ 7:40 AM,Grand Theft ‐ Bicycle,North America Hall,2023‐2028,"Secured bicycle stolen, loss $1000.00",Report Taken,2023-10-12 16:00:00,Expensive,32.8847624,-117.243444
10-12-2023,10-12-2023,12:00 PM ‐ 4:30 PM,Petty Theft ‐ Micro Mobility Device,Warren Lecture Hall,2023‐2029,"Secure electric scooter stolen, loss $300.00",Report Taken,2023-10-12 16:30:00,Medium,32.8805918,-117.2344208
10-12-2023,10-12-2023,6:20 PM ‐ 7:10 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐2031,"Secured electric scooter stolen, loss $425.59",Report Taken,2023-10-12 19:10:00,Medium,32.878353,-117.231842
10/14/2023,10/11/2023 ‐ 10/14/2023,12:50 AM ‐ 8:23 AM,Petty Theft ‐ Micro Mobility Device,Seventh College West Building 6,2023‐2049,"Secured electric bicycle stolen, loss $400.00",Online Report,2023-10-14 08:23:00,Medium,32.8880731,-117.2431334
10/14/2023,10/13/2023 ‐ 10/14/2023,4:25 PM ‐ 11:06 AM,Petty Theft ‐ Micro Mobility Device,Theatre District Dr.,2023‐2063,"Secured electric scooter stolen, loss $300.00",Online Report,2023-10-14 16:25:00,Medium,32.8725215,-117.2405004
10/14/2023,10/14/2023,10:00 AM ‐ 8:00 PM,Pretty Theft,Trolley ‐ Central Campus Station,2023‐2050,"Secured bicycle stolen, loss $698.93",Report Taken,2023-10-14 20:00:00,Expensive,32.878353,-117.231842
10/14/2023,10/14/2023,8:45 PM ‐ 8:50 PM,Petty Theft ‐ Micro Mobility Device,Peterson Hall,2023‐2051,"Secured electric bicycle stolen, loss $200.00",Report Taken,2023-10-14 20:50:00,Medium,32.8799725,-117.2403292
10/15/2023,10/14/2023 ‐ 10/15/2023,8:30 PM ‐ 9:00 AM,Petty Theft,Main Gym,2023‐2065,"Secured electric scooter's handlebar and control panel stolen, loss $380.00",Online Report,2023-10-15 20:30:00,Medium,,
10/16/2023,10/13/2023 ‐ 10/16/2023,4:00 PM ‐ 9:05 AM,Petty Theft,Sixth College Market,2023‐2064,"Secured bicycle stolen, loss $100.00",Online Report,2023-10-16 16:00:00,Medium,32.8807011,-117.2420455
10/16/2023,10/16/2023,11:45 AM ‐ 1:50 PM,Petty Theft ‐ Micro Mobility Device,Design & Innovation Building,2023‐2066,"Secured electric scooter stolen, loss $420.00",Online Report,2023-10-16 13:50:00,Medium,32.8794117,-117.2322377
10/16/2023,10/16/2023,5:00PM‐6:20PM,Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,2023‐2067,"Secured electric bicycle stolen, Loss $541.00",Online Report,2023-10-16 18:20:00,Expensive,32.8835013,-117.2349145
10/16/2023,10/16/2023,4:30 PM ‐ 7:00 PM,Petty Theft ‐ Micro Mobility Device,Miramar Street,T23000397,"Secured electric scooter stolen, loss $279.00",Online Report,2023-10-16 19:00:00,Medium,32.8735076,-117.2238704
10/17/2023,10/13/2023‐10/16/2023,6:40PM‐9:00AM,Petty Theft ‐ Micro Mobility Device,Discovery Hall,2023‐2071,"Secured electric scooter stolen, Loss $450.00",Report Taken,2023-10-16 18:40:00,Medium,32.8740494,-117.2419356
10/18/2023,10/13/23‐10/18/23,3:00PM‐11:20PM,Petty Theft,Villa La Jolla,T23000399,"Secured Bicycle stolen, Loss $500",Online Report,2023-10-18 23:20:00,Medium,32.8704438,-117.2339348
10/19/2023,10/18/2023 ‐ 10/19/2023,5:05 PM ‐ 10:05 AM,Petty Theft,Piedra ‐ 9th Floor Bike Hangers,2023‐2103,"Unsecured bicycle stolen, Loss $519.00",Online Report,2023-10-19 17:05:00,Expensive,,
