Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition
6/8/2023,6/4/2023,7:00 AM ‐ 2:00 PM,Petty Theft of Micro Mobility Device,School of Medicine ‐ Building 3,T23000290,"Secured electric scooter stolen, loss $631.00",Online Report
6/8/2023,6/8/2023,6:22 PM,Petty Theft of Micro Mobility Device,Matthews Ln,2023‐1229,"Secured electric scooter stolen, loss $800.00",Report Taken
6/10/2023,6/10/2023,9:30 PM,Grand Theft of Micro Mobility Device,Geisel Library,2023‐1242,"Secured electric scooter stolen, loss $1,000.00",Report Taken
6/10/2023,6/9/2023,11:45 PM,Petty Theft of Micro Mobility Device,York Hall,2023‐1241,"Secured electric scooter stolen, loss $700.00",Report Taken
6/10/2023,6/10/2023,12:03 PM,Petty Theft,Innovation Ln,2306100039,"Secured bicycle stolen, loss $250.00",Information Only
6/10/2023,6/10/2023,12:00 PM ‐ 2:40 PM,Petty Theft of Micro Mobility Device,Blake Hall,2023‐1250,"Secured electric scooter stolen, loss $400.00",Online Report
6/10/2023,6/10/2023,5:43 PM,Petty Theft,One Miramar St,2306100055,"Per San Diego Police, possible bicycle theft; male riding away from scene",Unable to Locate
6/10/2023,6/10/2023,4:30 PM ‐ 5:30 PM,Petty Theft of Micro Mobility Device,Central Campus Station,T23000293,"Secured electric scooter stolen, loss $400.00",Online Report
6/11/2023,6/10/2023 ‐ 6/11/2023,8:00 pm ‐ 12:15 am,Petty Theft ‐ Micro Mobility Device,Geisel Library,2023‐1251,"Secured electric scooter, loss $600.00",Disposition Online Report
6/11/2023,6/10/2023 ‐ 6/11/2023,6:30 pm ‐ 2:00 am,Petty Theft ‐ Micro Mobility Device,Geisel Library,2023‐1252,"Secured electric scooter, loss $766.00",Online Report
6/12/2023,6/12/2023,5:24 PM,Grand Theft ‐ Micro Mobility Device / Drug Law Arrest,Tioga Hall,2023‐1264,"Non‐affiliate male contacted after he was witnessed stealing an electric bicycle, loss $1,600.00",Closed By Adult Arrest
6/12/2023,6/12/2023,9:58 PM,Grand Theft ‐ Micro Mobility Device / Petty Theft from Vehicle / Vandalism,Warren Lecture Hall,2023‐1267,"Stolen secured electric bicycle, Loss $1,200",Report Taken
6/12/2023,06/11/23‐06/12/23,11:00PM‐07:50AM,Theft,Atlantis Hall,2023‐1263,"Secured bicycle stolen, Loss $100",Online Report
6/12/2023,6/12/2023,11:14 PM,Petty Theft ‐ Bicycle,Price Center Plaza,2023‐1270,"Secured bicycle stolen, loss $200.00",Report Taken
6/13/2023,6/13/2023,6:42 PM,Grand Theft ‐ Micro Mobility Device,Central Campus Trolley,2023‐1276,"Secured electric scooter stolen, Loss $2,400",Report Taken
6/13/2023,6/13/2023,8:05PM‐8:10PM,Petty Theft ‐ Micro Mobiliy Device,Gilman Drive,T23000300,"Secured electric scooter stolen, Loss $600",Online Report
6/14/2023,6/14/2023,3:00 PM ‐ 4:45 PM,Petty Theft ‐ Micro Mobility Device,Warren Lecture Hall,2023‐1287,"Stolen secured electric scooter, loss $350.00",Report Taken
6/15/2023,6/15/2023,12:05AM‐09:05AM,Petty Theft,Regents Road,T23000301,"Secured bicycle stolen, Loss $360.00",Online Report
6/15/2023,6/15/2023,03:05AM‐03:10AM,Attempted Theft ‐ Micro Mobility Device,Regents Road,T23000302,Unknown suspect attempted to steal victims electric bicycle,Online Report
6/15/2023,6/13/2023 ‐ 6/15/2023,3:00 PM‐3:00 PM,Grand Theft,Charles David Keeling Apartments,2023‐1296,"Bike rack stolen, loss 250.00",Report Taken
6/16/2023,6/16/2023,10:00AM‐1:00PM,Petty Theft ‐ Bicycle,South Scholars Drive,T23000303,"Secured bike stolen from bike racks, Loss $249.00",Online Report
6/17/2023,6/17/2023,2:00 AM ‐ 2:30 AM,Petty Theft ‐ Micro Mobility Device,Lot P406,2023‐1308,"Stolen, unsecured electric skateboard, loss $680.00",Report Taken
6/19/2023,6/18/2023,11:35 PM,Theft,UCSD Medical Center ‐ Hillcrest,HC23‐06‐19‐0411,Unknown subject stole skateboard,Hospital Security Report Taken
6/21/2023,6/21/2023,3:30 PM ‐ 4:50 PM,Petty Theft,Voigt Dr,2023‐1337,"Secured bicycle stolen, loss $303.00",Report Taken
6/22/2023,6/21/2023,1:24 PM ‐ 1:40 PM,Petty Theft,Pangea Parking,2023‐1340,"Stolen grinder and bicycle from vehicle, loss $300.00",Report Taken
6/24/2023,6/24/2023,6:04 PM,Petty Theft ‐ Micro Mobility Device,Gymnasium,2023‐1346,"Secured electric scooter stolen, Loss $410.00",Report Taken
6/26/2023,6/25/2023,12:00AM,Petty Theft ‐ Bicycle,Miramar Street,T23000304,"Secured Bicycle wheel stolen, Loss $200.00",Online Report
6/26/2023,6/26/2023,5:50 PM ‐ 6:13 PM,Petty Theft,Target ‐ Price Center,2023‐1359,"Secured bicycle stolen from bike rack, loss $213.00",Unable to Locate
6/28/2023,6/28/2023,3:58 PM,Petty Theft ‐ Micro Mobility Device,Center for Neural Circuits and Behavior,2023‐1369,"Secured electric scooter stolen, Loss $420.00",Report Taken
6/30/2023,6/30/2023,9:49 AM,Grand Theft,Canyonview Aquatic & Climbing Wall Facility,2023‐1379,"Secured bicycle stolen, loss $2,000.00",Report Taken
7/2/2023,7/2/2023,12:30AM,Petty Theft ‐ Micro Mobility Device,Innovation Lane,2023‐1389,"Secured electric scooter stolen, Loss $526.89",Online Report
7/2/2023,07/01/2023‐07/02/2023,03:35AM‐2:00PM,Theft ‐ Bicycle,Miramar Street,2023‐1390,"Secured bicycle stolen, Loss $150.00",Online Report
7/3/2023,7/3/2023,4:13 PM ‐ 4:45 PM,Petty Theft ‐ Micro Mobility Device,The Trove ‐ Price Center West,2023‐1399,"Secured electric scooter stolen and recovered, value $700.00","Closed By Citation, Adult"
7/5/2023,6/29/2023 ‐ 7/3/2023,4:00 PM ‐ 9:00 AM,Petty Theft ‐ Bicycle,Tapestry North Side,2023‐1403,"Secured bicycle stolen from bike rack, Loss $150.00",Disposition Report Taken
7/6/2023,7/6/2023,5:52 PM,Petty Theft‐Micro Mobility Device,Innovation Lane,2023‐1415,"Secured electric scooter stolen, loss $1,000.00",Report Taken
7/7/2023,7/7/2023,6:08 AM,Petty Theft,Scholars Drive,2307070010,Reporting party hears bolt cutters cutting a bicycle lock,Gone on Arrival
7/7/2023,7/7/2023,9:20 AM,Petty Theft ‐ Bicycle,Innovation Lane,2023‐1418,"Secured Stolen Bicycle, Loss $870.00",Disposition Report Taken
7/10/2023,7/7/2023 ‐ 7/9/2023,3:30 PM ‐ 12:30 PM,Petty Theft ‐ Bicycle,Gilman Dr,2023‐1453,"Secured bicycle stolen, loss $100.00",Online Report
7/10/2023,6/23/2023 ‐ 6/28/2023,12:00 AM ‐ 9:00 AM,Petty Theft ‐ Bicycle,Regents Rd,2023‐1454,"Secured bicycle stolen, loss $300.00",Online Report
7/11/2023,7/11/2023,11:00 AM ‐ 1:30 PM,Grand Theft of Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1458,"Secured electric bicycle stolen, loss $1,500.00",Report Taken
7/13/2023,7/13/2023,9:00 AM ‐ 10:00 AM,Petty Theft of Micro Mobility Device,Hopkins Dr,2023‐1467,"Secured electric scooter stolen, loss $500.00",Report Taken
7/15/2023,7/15/2023,1:00 PM ‐ 2:00 PM,Petty Theft of Micro Mobility Device,Main Gym,2023‐1481,"Secured electric scooter stolen, loss $518.00",Report Taken
7/17/2023,7/17/2023,11:15AM ‐ 5:10PM,Petty Theft ‐ Micro Mobility Device,Gilman Drive,2023‐1493,"Secured electric scooter stolen, loss $849.00",Online Report
7/17/2023,7/17/2023,1:15PM,Petty Theft ‐ Bicycle,Nuevo West,2023‐1494,"Secured bicycle stolen, loss $250.00",Online Report
7/18/2023,7/18/2023,2:00 PM ‐ 3:45 PM,Petty Theft of Micro Mobility Device,York Hall,2023‐1498,"Secured electric scooter stolen, loss $515.00",Report Taken
7/19/2023,7/18/2023,3:00PM‐6:00PM,Petty Theft ‐ Bicycle,Gilman Drive,T23000324,"Secured bicycle stolen, Loss $100",Online Report
7/19/2023,11:00 AM ‐ 6:30 PM,6:33 PM,Petty Theft,Center for Neural Circuits & Behavior,2307190080,"Secured bicycle stolen, no suspect information, amount of loss unknown",Information Only
7/20/2023,7/19/2023,12:00AM‐5:00PM,Petty Theft ‐ Bicycle,Franklin Antonio Hall,2023‐1506,"Secured bicycle stolen, Loss $950.00",Online Report
7/20/2023,7/19/2023,9:40PM‐9:45PM,Petty Theft,South Mesa,2023‐1508,"Unattended skateboard stolen, Loss $150.00",Online Report
7/22/2023,7/21/2023,8:00pm‐9:00am,Grand Theft ‐ Micro Mobility Device,Innovation Lane,2023‐1515,"Secured electric bicycle stolen, loss $1,000.00",Disposition Report Taken
7/22/2023,7/22/2023,9:20AM‐8:20PM,Petty Theft ‐ Bicycle,Miramar Street,T23000328,"Secured bicycle stolen, Loss $600.00",Online Report
7/23/2023,7/22/2023 ‐ 7/23/2023,11:00 PM ‐ 1:00 PM,Petty Theft,La Jolla Del Sol Apartments,2023‐1521,"Secured bicycle stolen, loss $593.00",Report Taken
7/23/2023,7/23/2023,11:00 AM ‐ 2:00 PM,Petty Theft ‐ Micro Mobility Device,Muir College Drive,2023‐1529,"Secured electric bicycle stolen, loss $3,750.00",Online Report
7/24/2023,7/19/2023 ‐ 7/24/2023,12:50 PM,Petty Theft ‐ Micro Mobility Device,Tamarack Apartments,2023‐1525,"Secured electric bicycle stolen, loss $600.00",Report Taken
7/24/2023,7/24/2023,3:00 PM ‐ 6:00 PM,Grand Theft ‐ Micro Mobility Device,York Hall,2023‐1527,"Secured electric scooter stolen, loss $990.00",Report Taken
7/26/2023,7/26/2023,4:05 PM ‐ 5:03,Petty Theft of Micro Mobility Device,Library Walk,2023‐1537,"Secured electric bicycle stolen, loss $380.00",Report Taken
7/27/2023,7/26/2023 ‐ 7/27/2023,9:00 PM ‐ 9:00 AM,Petty Theft,Redwood Drive,2023‐1547,"Secured bicycle stolen, loss 200.00",Online Report
7/27/2023,7/27/2023,8:45 AM ‐ 1:20 PM,Petty Theft,Regents Rd,T23000331,"Secured bicycle stolen, loss $450.00",Online Report
7/27/2023,7/19/2023,1:55 AM,Petty Theft,Marshall Uppers,T23000332,"Stolen bicycle, loss $250.00",Online Report
7/27/2023,7/26/2023 ‐ 7/27/2023,10:00 PM ‐ 10:00 AM,Petty Theft of Micro Mobility Device,pepper Canyon Lodge,2023‐1544,"Secured electric scooter stolen, loss $800.00",Online Report
7/28/2023,7/24/2023‐7/27/2023,8:55PM‐5:55PM,Petty Theft,Lebron Drive,T23000334,"Secured Bicycle stolen, Loss $200",Online Report
7/29/2023,7/29/2023,3:40 AM,Petty Theft ‐ Bicycle,CMME,2023‐1558,"Secured bicycle stolen, loss $200.00",Online Report
7/31/2023,7/31/2023,1:45 PM ‐ 7:45 PM,Petty Theft,Geisel Library,2023‐1570,"Secured bicycle stolen, loss $400.00",Online Report
8/3/2023,8/3/2023 ‐ 8/3/2023,12:00 PM ‐ 12:30 PM,Petty Theft ‐ Micro Mobility Device,UCSD Police Department,2023‐1586,"Secured electric scooter stolen, loss $400",Report Taken
8/3/2023,8/3/2023 ‐ 8/3/2023,6:00 PM ‐ 6:40 PM,Petty Theft ‐ Bicycle,CanyonView Aquatic & Climbing Wall Facility,2023‐1587,"Secured bicycle stolen, loss $420",Report Taken
8/4/2023,8/3/2023 ‐ 8/4/2023,8:00 PM ‐ 9:00 AM,Petty Theft ‐ Bicycle,Viento,2023‐1590,"Unsecured bicycle stolen, loss $60.00",Service Provided
8/4/2023,8/4/2023,8:10 AM ‐ 5:50 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1593,"Secured electric scooter stolen, loss $549.00",Report Taken
8/4/2023,8/4/2023,5:00 PM ‐ 9:30 PM,Petty Theft,Regents Rd,2023‐1595,"Secured bicycle stolen, loss $300.00",Online Report
8/6/2023,8/3/2023,5:25pm‐9:00pm,Petty Theft ‐ Bicycle,Mandeville Lane,2023‐1602,"Secured bicycle stolen, loss $549.99",Online Report
8/7/2023,8/7/2023,3:00 PM ‐ 6:00 PM,Petty Theft,UCSD Bookstore,T23000340,"Secured bicycle stolen, loss $300.00",Online Report
8/10/2023,8/10/2023,10:00 AM ‐ 5:10 PM,Petty Theft ‐ Micro Mobility Device,Skaggs Pharmaceutical Sciences Building,2023‐1627,"Secured electric scooter stolen, loss $300.00",Report Taken
8/10/2023,8/10/2023,4:30 PM ‐ 6:45 PM,Petty Theft,Geisel Library ‐ Bike Racks,2023‐1628,"Secured bicycle stolen, loss $500.00",Online Report
8/11/2023,8/10/2023 ‐ 8/11/2023,11:00 PM ‐ 6:00 PM,Petty Theft from Vehicle,"One Miramar Street, Bldg 2",2023‐1632,"Motor scooter alarm stolen off victim's scooter, loss $200.00",Report Taken
8/12/2023,8/11/2023 ‐ 8/12/2023,8:00 PM ‐ 1:00 PM,Petty Theft,One Miramar Street,2023‐1638,"Secured bicycle stolen, loss $500.00",Online Report
8/13/2023,8/9/2023,4:00 PM ‐ 7:15 PM,Petty Theft ‐ Bicycle,"1 Miramar Street, La Jolla",2023‐1668,"Secured bicycle stolen, loss $290.00",Online Report
8/13/2023,8/12/2023 ‐ 8/13/2023,4:00 PM ‐ 12:40 PM,Petty Theft ‐ Bicycle,Sixth Market ‐ Mosaic,2023‐1642,"Secured bicycle stolen, loss $420.00",Report Taken
8/13/2023,8/11/2023 ‐ 8/12/2023,11:30 AM ‐ 12:00 AM,Petty Theft,One Miramar Street ‐ Building 4,2023‐1643,"Secured bicycle stolen and cable lock damaged, loss $910.00, damage $20.00",Report Taken
8/13/2023,8/9/2023,4:00 PM ‐ 7:15 PM,Petty Theft ‐ Bicycle,"1 Miramar Street, La Jolla",T23000343,"Secured bicycle stolen, loss $290.00",Online Report
8/14/2023,8/14/2023,8:30 AM ‐ 10:45 PM,Petty Theft ‐ Micro Mobility Device,SME Building,2023‐1669,"Secured Electric scooter with cable was taken, total loss $500",Online Report Taken
8/14/2023,8/14/2023,10:30 AM ‐ 4:30 PM,Petty Theft ‐ Micro Mobility Device,Computer Science And Engineering Building,2023‐1646,"Secured electric scooter, loss $350",Report Taken
8/14/2023,8/14/2023,8:30 AM ‐ 10:45 PM,Petty Theft ‐ Micro Mobility Device,SME Building,T23000344,"Secured Electric scooter with cable was taken, total loss $500",Online Report Taken
8/15/2023,8/14/2023,11:00am‐8:00pm,Petty Theft ‐ Micro Mobility Device,UCSD Central Campus Trolley Station,2023‐1670,"Secured electric scooter stolen, Loss $449",Online Report
8/16/2023,8/16/2023,4:00 PM ‐ 8:15 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2023‐1662,"Secured electric scooter stolen, Loss $619.87",Report Taken
8/19/2023,8/9/2023,9:00 PM ‐ 6:00 AM,Grand Theft,Argo Hall,2023‐1686,"Two stolen bike racks, loss $1,500.00",Report Taken
8/21/2023,8/20/2023 ‐ 8/21/2023,10:00 PM ‐ 9:30 AM,Grand Theft ‐ Micro Mobility Device,Tierra,2023‐1694,"Secured electric bicycle stolen, loss $4,000.00",Report Taken
8/22/2023,8/22/2023,11:25 AM ‐ 1:25 PM,Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,2023‐1702,"Secured electric scooter stolen, loss $500.00",Report Taken
8/22/2023,8/22/2023,9:20 PM,Petty Theft,Trolley ‐ Central Campus Station,2308220059,Reporting party saw an unknown male steal a scooter,Gone On Arrival
8/23/2023,8/22/2023 ‐ 8/23/2023,5:20 PM ‐ 10:15 AM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,2023‐1708,"Secured electric scooter stolen, loss $399.00",Report Taken
8/24/2023,8/24/2023,4:00 PM ‐ 8:20 PM,Grand Theft ‐ Bicycle,Brisa,2023‐1715,"Secured bicycle stolen, loss $1,299.00",Online Report
8/25/2023,6/16/2023,Unknown,Petty Theft ‐ Micro Mobility Device,Warren Residential Hall,T23000347,"Unsecured electric scooter stolen, loss $350.00",Online Report
8/25/2023,8/25/2023,6:49 PM,Petty Theft ‐ Bicycle,Nuevo East ‐ Porton,2308250040,"Secured bicycle stolen from outside fitness center, loss $500.00",Online Report
8/26/2023,8/26/2023,6:20 PM ‐ 8:00 PM,Petty Theft / Vandalism,Trolley ‐ Central Campus Station,2023‐1719,"Unknown suspect stole victim's secured electric scooter and damaged the cable lock, damage $14.00, loss $300.00",Report Taken
8/27/2023,8/26/2023,2:00 PM ‐ 1:00 PM,Grand Theft ‐ Micor Mobility Device,Peppery Canyon Apartments,2308270027,"Secured electric bicycle stolen, Loss $1,200.00",Report Taken
8/30/2023,8/30/2023,8:00 AM‐4:00 PM,Petty Theft ‐ Micro Mobility Device,Student Services Center,2023‐1748,"Secured electric scooter stolen, loss $349.00",Online Report
9/1/2023,9/1/2023,2:00 PM ‐ 3:30 PM,Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,2023‐1754,"Secured electric scooter stolen, Loss $400.00",Online Report
9/1/2023,8/31/2023‐09/01/2023,6:30 PM ‐1:00PM,Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,2023‐1753,"Secured bicycle stolen, Loss $400.00",Online Report
9/2/2023,9/2/2023,4:40 PM ‐ 5:00 PM,Grand Theft ‐ Bicycle,John's Place & Market,2023‐1755,"Unsecured bicycle stolen, loss $2,000.00",Report Taken
9/2/2023,9/2/2023,9:00 AM ‐ 1:50 PM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,2023‐1756,"Secured electric scooter stolen, loss $500.00",Report Taken
9/5/2023,9/3/2023 ‐ 9/5/2023,12:00 PM ‐ 4:00 PM,Grand Theft ‐ Bicycle,Astilla,2023‐1767,"Secured bicycle stolen, loss $1,000",Report Taken
9/6/2023,9/6/2023,8:03 PM,Petty Theft,Thurgood Marshall Res Halls,T23000355,"Bicycle stolen, loss $300.00",Online Reporting
9/8/2023,9/7/2023 ‐ 9/8/2023,6:00 PM ‐ 10:00 AM,Petty Theft,Urey Hall,2023‐1788,"Secured bicycle stolen, loss $120.00",Report Taken
9/12/2023,9/12/2023,9:00 AM ‐ 2:00 PM,Grand Theft,Torrey Pines Center North,2309120055,"Report of stolen bicycle, total loss $6,000",Information Only
9/13/2023,8/28/2023 ‐ 9/13/2023,6:00 PM ‐ 7:35 AM,Petty Theft,Artesa,2023‐1809,"Secured bicycle stolen, loss $500.00",Report Taken
9/14/2023,9/13/2023,2:00 PM ‐ 3:00 PM,Grand Theft,Neighborhood ‐ TDLL,2023‐1812,"Unsecure bicycle stolen, loss $699.00",Report Taken
9/15/2023,9/12/2023,9:00am‐2:00pm,Grand Theft,North Torrey Pines Parking Lot,2023‐1820,"Secured bicycle stolen, loss $8,000.00",Report Taken
9/17/2023,9/14/2023 ‐ 9/17/2023,7:05 PM ‐ 7:18 PM,Theft ‐ Bicycle,Mesa Apartments South,2023‐1830,"Secured bicycle stolen, loss $500",Online Report
9/18/2023,9/18/2023,9:10AM‐3:40PM,Petty Theft ‐ Micro Mobility Device,RIMAC Annex,2023‐1833,"Secured electric scooter stolen, Loss $250",Online Report
9/18/2023,9/18/2023,9:15AM‐4:00PM,Petty Theft,RIMAC Annex,2023‐1834,"Secured electric scooter stolen, Loss $300",Online Report
9/19/2023,9/19/2023,12:35PM,Petty Theft,Computer Science and Engineering Building,2023‐1836,"Secured bicycle stolen, Loss $400.00",Online Report
9/19/2023,9/19/2023,12:35PM,Petty Theft,Voigt Drive,T23000362,"Secured Bicycle stolen, Loss $400",Online Report
9/21/2023,9/21/2023,12:25 PM,Petty Theft,Pepper Canyon Lane,T23000363,"Secured bicycle stolen, loss $500.00",Online Report
9/22/2023,9/22/2023,12:00 PM ‐ 4:45 PM,Petty Theft ‐ Micro Mobility Device,Stein Clinical Research Building,2023‐1850,"Unknown suspect(s) stole a secured electric scooter, approximate loss is $300",Report Taken
9/22/2023,9/22/2023,4:50 PM ‐ 5:00 PM,Petty Theft ‐ Micro Mobility Device,Target,2023‐1851,"Unknown suspect(s) stole a secured electric bicycle, approximate loss is $360",Report Taken
9/22/2023,9/22/2023,4:55 PM ‐ 5:10 PM,Bicycle Theft,Library Walk San Diego,T23000364,"Secured bicycle left by Target entrance, lock was cut off and bike was no longer there",Online Reporting
9/22/2023,9/21/2023,6:40 PM,Bicycle Theft,One Miramar St,T23000365,Secured bicycle was removed from bike rack,Online Reporting
9/26/2023,9/26/2023,7:30 PM ‐ 9:15 PM,Grand Theft ‐ Micro Mobility Device,RIMAC,2023‐1880,"Unknown suspect(s) stole a secured electric bicycle, approximate total loss $2,300",Report Taken
9/26/2023,9/26/2023,8:50 PM,Petty Theft ‐ Micro Mobility Device,Muir Biology Building,T23000368,"Secured electric scooter at bike racks near building, lock had been cut and scooter was gone, market value $800",Online Reporting
9/27/2023,9/27/2023,10:00 AM ‐ 10:30 AM,Grand Theft ‐ Micro Mobility Device,Canyonview Rec/Athletics Administration,2023‐1886,"Unsecured electric scooter stolen, loss $1,300.00",Report Taken
9/27/2023,9/26/2023,7:30 PM ‐ 9:00 PM,Grand Theft ‐ Micro Mobility Device,Hopkins Dr,T23000369,"Secured electric bicycle stolen, loss $2,000",Online Reporting
9/27/2023,9/26/2023 ‐ 9/27/2023,2:30 PM ‐ 5:50 AM,Petty Theft ‐ Bicycle,Regents Road,2023‐1887,"Secured bicycle stolen, loss: $200",Report Taken
9/27/2023,9/21/2023 ‐ 9/27/2023,5:45 PM,Petty Theft ‐ Bicycle,Exchange,2023‐1917,"Secured bicycle stolen, loss: $900.00",Online Reporting
9/28/2023,9/26/2023 ‐ 9/28/2023,11:00 AM ‐ 8:45 AM,Petty Theft ‐ Bicycle,Pepper Canyon Apartments,2023‐1894,"Secured bicycle stolen from bike rack, loss $50.00",Disposition Report Taken
9/28/2023,9/27/2023 ‐ 9/28/2023,2:00 PM ‐ 7:00 AM,Petty Theft ‐ Micro Mobility Device,Seventh College West,2023‐1893,"Unknown suspect(s) stole a secured electric scooter, loss $500.00",Report Taken
9/28/2023,9/27/2023,3:00 PM ‐ 3:10 PM,Petty Theft ‐ Micro Mobility Device,Town Square,2023‐1895,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $275.00",Report Taken
9/28/2023,9/27/2023 ‐ 9/28/2023,6:00 PM ‐ 7:30 AM,Petty Theft ‐ Bicycle,Cala,2023‐1912,"Secured bicycle stolen from bike racks, loss $300.00",Online Report
9/28/2023,9/28/2023,1:00 PM ‐ 4:00 PM,Bicycle Theft,Matthews Apartments,2023‐1902,"Secured bicycle stolen from underneath stairway, loss $300.00",Online Report
9/28/2023,9/28/2023,5:54 PM,Petty Theft / Drug Law Violation/ Obstruct or Resist Peace Officer / Outside Agency Arrest Warrant ‐ Felony,Price Center West ‐ Target / Trolley ‐ Central Campus Station,2023‐1899,"Male subject trying to cut locks outside of store, upon contact with Officers, subject attempted to flee the scene on stolen bicycle, loss $300.00",Closed By Adult Arrest
9/28/2023,9/28/2023,7:30 PM ‐ 8:31 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1900,"Male suspect stole a secured electric scooter from bike rack, loss $648.48",Report Taken
9/29/2023,9/28/2023‐09/29/2023,5:00PM‐9:30AM,Petty Theft,Marshall College,2023‐1904,"Secured electric bicycle stolen, loss $500.00",Disposition Report Taken
9/30/2023,9/30/2023,1:08:00 AM ‐ 2:06 AM,Petty Theft ‐ Micro Mobility Device/ Fraud,Argo Hall,2023‐1909,"Original call for suspicious male standing over bike rack, upon contact subject admitted to stealing an electric scooter and was unlawfully in possession of another's credit card","Closed By Citation, Adult"
9/30/2023,9/24/2023 ‐ 9/30/2023,5:00 PM ‐ 1:30 PM,Petty Theft ‐ Micro Mobility Device,Atlantis Hall,2023‐1915,"Unknown suspect stole victim's secured electric scooter, loss $750.00",Report Taken
9/30/2023,9/29/2023 ‐ 9/30/2023,10:00 PM ‐ 3:00 AM,Petty Theft ‐ Bicycle,Scholars Dr N.,2023‐1928,"Secured bicycle stolen, loss $700.00",Online Report
9/30/2023,9/30/2023,9:15 PM ‐ 10:40 PM,Petty Theft ‐ Micro Mobility Device,RIMAC,2023‐1918,"Secured electric scooter stolen, loss $300.00",Report Taken
10/1/2023,10/1/2023,6:30 PM ‐ 7:20 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1923,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $300.00",Report Taken
10/1/2023,10/1/2023,3:00 PM ‐ 10:25 PM,Bicycle Theft,Frankfurter Hall,2023‐1924,"Unknown suspect(s) stole a secured bicycle and accessories, loss $150.00",Report Taken
10/2/2023,10/2/2023,6:00 AM ‐ 1:00 PM,Petty Theft,Otterson Hall,T23000377,"Secured bicycle stolen, loss $350.00",Online Report
10/2/2023,10/2/2023,1:57 PM ‐ 2:50 PM,Petty Theft of Micro Mobility Device,Galbraith Hall,2023‐1930,"Secured electric scooter stolen, loss $650.00",Report Taken
10/3/2023,10/3/2023,8:00 AM ‐ 10:15 AM,Petty Theft of Micro Mobility Device,Center Hall,2023‐1936,"Secured electric bicycle stolen, loss $1,400.00",Report Taken
10/3/2023,10/3/2023,9:30 AM ‐ 10:50 AM,Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station (Bike Racks),2023‐1937,"Secured electric scooter stolen, loss $400.00",Report Taken
10/3/2023,10/3/2023,6:31 PM,Grand Theft,Sally T. Wongavery Library,2023‐1939,"Unsecured electric bicycle stolen, loss $2,000.00",Report Taken
10/3/2023,10/3/2023,9:30 AM ‐ 10:50 AM,Petty Theft of Micro Mobility Device,Center Hall,2023‐1937,"Secured electric scooter stolen, loss $400.00",Report Taken
10/4/2023,10/2/2023 ‐ 10/4/2023,8:00 PM ‐ 8:30 AM,Petty Theft,Tapestry Bike Locker,2023‐1946,"Secured bicycle stolen, loss $200.00",Report Taken
10/5/2023,10/4/2023 ‐ 10/5/2023,5:00 PM ‐ 9:00 AM,Petty Theft of Micro Mobility Device,Tioga Hall,2023‐1952,"Secured electric bicycle stolen, loss $370.00",Report Taken
10/5/2023,10/5/2023,10:23 PM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Bldg,2023‐1959,"Secured electric scooter stolen, loss $450.00",Report Taken
10/6/2023,10/6/2023,5:45 AM ‐ 9:05 AM,Petty Theft of Micro Mobility Device,RIMAC,2023‐1965,"Secured electric scooter stolen, loss $1,485.00",Report Taken
10/6/2023,10/6/2023,3:30 PM ‐ 5:15 PM,Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐1974,"Secured electric scooter stolen, loss $650.00",Report Taken
10/6/2023,10/6/2023,3:00 PM ‐ 11:00 PM,Petty Theft,Matthew Ln,2023‐1983,"Unknown suspect(s) tampered with electric scooter, loss $400.00",Report Taken
10/6/2023,10/5/2023 ‐ 10/6/2023,9:30 PM ‐ 9:00 AM,Petty Theft,Piedra,2023‐1982,"Secured bicycle stolen, loss $950.00",Online Report
10/7/2023,10/5/2023,9:40 PM ‐ 11:55 PM,Petty Theft ‐ Micro Mobility Device,Center Hall,2023‐1986,"Secured electric scooter stolen, loss $545",Report Taken
10/9/2023,10/9/2023,3:00 PM ‐ 5:40 PM,Petty Theft ‐ Micro Mobility Device,The Village At Torrey Pines,T23000385,"Secured electric scooter stolen, loss $500",Online Report
10/9/2023,10/9/2023,2:00 AM ‐ 10:00 AM,Petty Theft ‐ Micro Mobility Device,Meteor Hall,2023‐1999,"Secured electric scooter stolen, loss $530.00",Report Taken
10/10/2023,10/10/2023,4:00 PM ‐ 4:25 PM,Petty Theft ‐ Micro Mobility Device,Marshall Residence Hall P,2023‐2013,"Secured electric scooter stolen, loss $300.00",Online Report
